angle,height,distance
1.0,5.0,10.276067641899495
2.0,5.0,10.453872530443064
3.0,5.0,10.631280767052173
4.0,5.0,10.808047707594202
5.0,5.0,10.983918285945066
6.0,5.0,11.158627518196173
7.0,5.0,11.331901069940626
8.0,5.0,11.503455882880578
9.0,5.0,11.673000856391988
10.0,5.0,11.840237579163052
11.0,5.0,12.004861105596314
12.0,5.0,12.166560771336645
13.0,5.0,12.325021042060126
14.0,5.0,12.479922389531334
15.0,5.0,12.630942188904523
16.0,5.0,12.777755631302607
17.0,5.0,12.920036645847564
18.0,5.0,13.05745882552846
19.0,5.0,13.189696351567562
20.0,5.0,13.316424911270214
21.0,5.0,13.437322604709065
22.0,5.0,13.552070835986447
23.0,5.0,13.660355185230431
24.0,5.0,13.761866257899873
25.0,5.0,13.856300508393563
26.0,5.0,13.943361035370362
27.0,5.0,14.022758346584883
28.0,5.0,14.094211091421565
29.0,5.0,14.157446759664706
30.0,5.0,14.212202345370779
31.0,5.0,14.258224975009503
32.0,5.0,14.295272499311544
33.0,5.0,14.32311404850258
34.0,5.0,14.34153055081636
35.0,5.0,14.350315214364793
36.0,5.0,14.34927397260153
37.0,5.0,14.338225893749765
38.0,5.0,14.31700355467612
39.0,5.0,14.285453379783021
40.0,5.0,14.243435945564029
41.0,5.0,14.190826251522148
42.0,5.0,14.12751395819226
43.0,5.0,14.053403593037642
44.0,5.0,13.968414725008714
45.0,5.0,13.872482108561584
46.0,5.0,13.765555797936097
47.0,5.0,13.647601232489267
48.0,5.0,13.518599293871805
49.0,5.0,13.3785463358236
50.0,5.0,13.227454187349682
51.0,5.0,13.065350130022347
52.0,5.0,12.892276850138009
53.0,5.0,12.708292366440206
54.0,5.0,12.51346993410279
55.0,5.0,12.307897925650662
56.0,5.0,12.091679689479431
57.0,5.0,11.864933386620514
58.0,5.0,11.627791806384334
59.0,5.0,11.380402161502067
60.0,5.0,11.12292586337512
61.0,5.0,10.855538278032178
62.0,5.0,10.578428463385352
63.0,5.0,10.291798888370181
64.0,5.0,9.99586513454889
65.0,5.0,9.690855580752167
66.0,5.0,9.377011071331797
67.0,5.0,9.054584568594692
68.0,5.0,8.723840789988223
69.0,5.0,8.385055830606838
70.0,5.0,8.038516771591077
71.0,5.0,7.684521274992
72.0,5.0,7.323377165676269
73.0,5.0,6.955402000850398
74.0,5.0,6.580922627786029
75.0,5.0,6.200274730331982
76.0,5.0,5.8138023648030135
77.0,5.0,5.421857485839516
78.0,5.0,5.024799462836968
79.0,5.0,4.622994587548373
80.0,5.0,4.216815573467675
81.0,5.0,3.806641047606329
82.0,5.0,3.3928550352798155
83.0,5.0,2.9758464385249095
84.0,5.0,2.5560085087724653
85.0,5.0,2.133738314404188
86.0,5.0,1.7094362038251756
87.0,5.0,1.2835052646870324
88.0,5.0,0.8563507798989696
89.0,5.0,0.42837968106662866
90.0,5.0,1.503146818670947E-15
0.0,6.0,11.061914190471349
1.0,6.0,11.239598567969924
2.0,6.0,11.41655412929271
3.0,6.0,11.592549511324101
4.0,6.0,11.76734408050482
5.0,6.0,11.940688334760283
6.0,6.0,12.112324358038995
7.0,6.0,12.281986325252719
8.0,6.0,12.449401054934285
9.0,6.0,12.614288606497498
10.0,6.0,12.776362918603084
11.0,6.0,12.935332484811342
12.0,6.0,13.090901062438672
13.0,6.0,13.24276841033491
14.0,6.0,13.390631051160886
15.0,6.0,13.534183053670208
16.0,6.0,13.673116830484114
17.0,6.0,13.8071239468883
18.0,6.0,13.93589593627297
19.0,6.0,14.059125117975015
20.0,6.0,14.176505413459155
21.0,6.0,14.287733156986395
22.0,6.0,14.392507897156364
23.0,6.0,14.490533185969502
24.0,6.0,14.581517352328506
25.0,6.0,14.66517425718062
26.0,6.0,14.741224027787974
27.0,6.0,14.809393768897039
28.0,6.0,14.869418248856906
29.0,6.0,14.921040559005139
30.0,6.0,14.964012744897362
31.0,6.0,14.998096408199743
32.0,6.0,15.023063278290536
33.0,6.0,15.03869575282704
34.0,6.0,15.044787406726511
35.0,6.0,15.041143469184322
36.0,6.0,15.027581268509106
37.0,6.0,15.003930644694345
38.0,6.0,14.970034329768753
39.0,6.0,14.925748296074921
40.0,6.0,14.870942072718458
41.0,6.0,14.80549903050883
42.0,6.0,14.72931663577991
43.0,6.0,14.64230667353378
44.0,6.0,14.544395440396995
45.0,6.0,14.435523907915238
46.0,6.0,14.315647856741561
47.0,6.0,14.18473798229564
48.0,6.0,14.042779972488418
49.0,6.0,13.889774558118335
50.0,6.0,13.725737536553492
51.0,6.0,13.55069976931862
52.0,6.0,13.364707154208151
53.0,6.0,13.167820572546669
54.0,6.0,12.960115812216689
55.0,6.0,12.741683467071443
56.0,6.0,12.512628813347016
57.0,6.0,12.273071663684837
58.0,6.0,12.023146199371872
59.0,6.0,11.763000781402257
60.0,6.0,11.49279774096083
61.0,6.0,11.212713149926154
62.0,6.0,10.922936571988028
